code,name,price,category,brand,cpu1,cpu2,cpu3,ram,disk,vga1,vga2,screen1,screen2,design,size,release,rating,img,full_name
220042001893,Laptop,66490000, Laptop , Dell ,i7,11800H,2.30 GHz,32 GB,"1 TB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",Card tích hợp,RTX 3070 8GB,"15.6""",QHD (2560 x 1440),Vỏ nhựa,Dài 356 mm - Rộng 272 mm - Dày 19 mm - Nặng 2.69 kg,Dài 356 mm - Rộng 272 mm - Dày 19 mm - Nặng 2.69 kg,0.0,https://cdn.tgdd.vn/Products/Images/44/271090/Slider/vi-vn-dell-gaming-alienware-m15-r6-i7-70272633-03.jpg,"Laptop  Dell  i7 11800H 2.30 GHz 32 GB Card tích hợp RTX 3070 8GB 15.6"" QHD (2560 x 1440)"
220042001560,Laptop,64990000, Laptop , MSI ,i7,11800H,2.30 GHz,32 GB,2 TB SSD NVMe PCIe,Card rời,RTX 3070 Max-Q 8GB,"15.6""",Full HD (1920 x 1080),Vỏ kim loại,Dài 358.3 mm - Rộng 248 mm - Dày 19.8 mm - Nặng 2.1 Kg,Dài 358.3 mm - Rộng 248 mm - Dày 19.8 mm - Nặng 2.1 Kg,0.0,https://cdn.tgdd.vn/Products/Images/44/249147/Slider/vi-vn-msi-gaming-gs66-stealth-11ug-i7-219vn-2.jpg,"Laptop  MSI  i7 11800H 2.30 GHz 32 GB Card rời RTX 3070 Max-Q 8GB 15.6"" Full HD (1920 x 1080)"
220042001899,Laptop,61990000, Laptop , Dell ,i7,11800H,2.30 GHz,32 GB,"1TB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB M.2 2280 PCIe Gen4 x4 NVMe / 1TB M.2 2280 PCIe Gen3 x4 NVMe",Card rời,RTX 3060 6GB,"15.6""",Full HD (1920 x 1080),Vỏ kim loại,Dài 356.2 mm - Rộng 272.5 mm - Dày 19.2 mm - Nặng 2.69 kg,Dài 356.2 mm - Rộng 272.5 mm - Dày 19.2 mm - Nặng 2.69 kg,0.0,https://cdn.tgdd.vn/Products/Images/86/227522/chuot-gaming-rapoo-vt200-den-01-600x600.jpg,"Laptop  Dell  i7 11800H 2.30 GHz 32 GB Card rời RTX 3060 6GB 15.6"" Full HD (1920 x 1080)"
220042001561,Laptop,59990000, Laptop , MSI ,i7,11800H,2.30 GHz,16 GB,2 TB SSD NVMe PCIe,Card rời,RTX 3070 8GB,"15.6""",Full HD (1920 x 1080),Vỏ kim loại,Dài 358 mm - Rộng 267 mm - Dày 23.4 mm - Nặng 2.38 Kg,Dài 358 mm - Rộng 267 mm - Dày 23.4 mm - Nặng 2.38 Kg,0.0,https://cdn.tgdd.vn/Products/Images/44/249152/Slider/vi-vn-msi-gaming-ge66-raider-11ug-i7-258vn-2.jpg,"Laptop  MSI  i7 11800H 2.30 GHz 16 GB Card rời RTX 3070 8GB 15.6"" Full HD (1920 x 1080)"
220042001641,Laptop,52990000, Laptop , MacBook ,Apple M1 Pro,200GB/s memory bandwidth,,16 GB,512 GB SSD,Card tích hợp,14 core-GPU,14.2 inch,Liquid Retina XDR display (3024 x 1964),Vỏ kim loại nguyên khối,Dài 312.6 mm - Rộng 221.2 mm - Dày 15.5 mm - Nặng 1.6 kg,Dài 312.6 mm - Rộng 221.2 mm - Dày 15.5 mm - Nặng 1.6 kg,5.0,https://cdn.tgdd.vn/Products/Images/44/253581/Slider/vi-vn-apple-pro-14-m1-pro-2021-8-core-cpu-16gb-3.jpg,Laptop  MacBook  Apple M1 Pro 200GB/s memory bandwidth  16 GB Card tích hợp 14 core-GPU 14.2 inch Liquid Retina XDR display (3024 x 1964)
220042001716,Laptop,52990000, Laptop , MSI ,i7,11800H,2.30 GHz,16 GB,"1 TB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",Card rời,RTX 3070 8GB,"17.3""",Full HD (1920 x 1080),Vỏ kim loại,Dài 397 mm - Rộng 284 mm - Dày 25.9 mm - Nặng 2.9 kg,Dài 397 mm - Rộng 284 mm - Dày 25.9 mm - Nặng 2.9 kg,0.0,https://cdn.tgdd.vn/Products/Images/44/261962/Slider/vi-vn-msi-gaming-leopard-gp76-11ug-i7-823vn-02.jpg,"Laptop  MSI  i7 11800H 2.30 GHz 16 GB Card rời RTX 3070 8GB 17.3"" Full HD (1920 x 1080)"
220042001462,Laptop,52990000, Laptop , MSI ,i7,11800H,2.30 GHz,16 GB,1 TB SSD M.2 PCIe,Card rời,RTX 3070 8GB,"17.3""",Full HD (1920 x 1080),Vỏ kim loại,Dài 397 mm - Rộng 284 mm - Dày 25.9 mm - Nặng 2.9 kg,Dài 397 mm - Rộng 284 mm - Dày 25.9 mm - Nặng 2.9 kg,0.0,https://cdn.tgdd.vn/Products/Images/44/242204/Slider/vi-vn-msi-gp76-11ug-i7-435vn-2.jpg,"Laptop  MSI  i7 11800H 2.30 GHz 16 GB Card rời RTX 3070 8GB 17.3"" Full HD (1920 x 1080)"
220042001411,Laptop,49990000, Laptop , Lenovo ,i7,1185G7,3GHz,16 GB,1 TB SSD M.2 PCIe,Card tích hợp,Intel Iris Xe,"14""",4K/UHD (3840 x 2160),Vỏ kim loại,Dài 319.4 mm - Rộng 216.4 mm - Dày 15.7 mm - Nặng 1.37 kg,Dài 319.4 mm - Rộng 216.4 mm - Dày 15.7 mm - Nặng 1.37 kg,2.0,https://cdn.tgdd.vn/Products/Images/44/239233/Slider/vi-vn-lenovo-yoga-9-14itl5-i7-82bg006evn-2.jpg,"Laptop  Lenovo  i7 1185G7 3GHz 16 GB Card tích hợp Intel Iris Xe 14"" 4K/UHD (3840 x 2160)"
220042001573,Laptop,50990000, Laptop , Acer ,i7,11800H,2.30 GHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",Card rời,RTX 3070 8GB,"15.6""",QHD (2560 x 1440),Vỏ kim loại,Dài 353 mm - Rộng 255 mm - Dày 19.9 mm - Nặng 2 kg,Dài 353 mm - Rộng 255 mm - Dày 19.9 mm - Nặng 2 kg,0.0,https://cdn.tgdd.vn/Products/Images/44/250976/Slider/vi-vn-acer-predator-triton-300-pt315-53-71dj-i7-3.jpg,"Laptop  Acer  i7 11800H 2.30 GHz 16 GB Card rời RTX 3070 8GB 15.6"" QHD (2560 x 1440)"
220042001441,Laptop,49590000, Laptop , HP ,i7,1165G7,2.8GHz,16 GB,512 GB SSD NVMe PCIe,Card tích hợp,Intel Iris Xe,"14""",Full HD (1920 x 1080),Vỏ kim loại nguyên khối,Dài 303.7 mm - Rộng 193.9 mm - Dày 16.1 mm - Nặng 1.25 kg,Dài 303.7 mm - Rộng 193.9 mm - Dày 16.1 mm - Nặng 1.25 kg,0.0,https://cdn.tgdd.vn/Products/Images/44/242415/Slider/vi-vn-hp-elitebook-x360-1040-g8-i7-3g1h4pa-2.jpg,"Laptop  HP  i7 1165G7 2.8GHz 16 GB Card tích hợp Intel Iris Xe 14"" Full HD (1920 x 1080)"
220042001398,Laptop,54890000, Laptop , LG ,i7,1165G7,2.8GHz,16 GB,1 TB SSD M.2 PCIe,Card tích hợp,Intel Iris Xe,"17""",WQXGA (2560 x 1600),Hợp kim Nano Carbon - Magie,Dài 380.2 mm - Rộng 260.1 mm - Dày 17.8 mm - Nặng 1.35 kg,Dài 380.2 mm - Rộng 260.1 mm - Dày 17.8 mm - Nặng 1.35 kg,0.0,https://cdn.tgdd.vn/Products/Images/44/238139/Slider/lg-gram-17-i7-17z90pgah78a5-120821-0338501.jpg,"Laptop  LG  i7 1165G7 2.8GHz 16 GB Card tích hợp Intel Iris Xe 17"" WQXGA (2560 x 1600)"
220042001399,Laptop,52890000, Laptop , LG ,i7,1165G7,2.8GHz,16 GB,512 GB SSD NVMe PCIe,Card tích hợp,Intel Iris Xe,"17""",WQXGA (2560 x 1600),Hợp kim Nano Carbon - Magie,Dài 380.2 mm - Rộng 260.1 mm - Dày 17.8 mm - Nặng 1.35 kg,Dài 380.2 mm - Rộng 260.1 mm - Dày 17.8 mm - Nặng 1.35 kg,0.0,https://cdn.tgdd.vn/Products/Images/44/238135/Slider/lg-gram-17-i7-17z90pgah76a5-070521-1108464.jpg,"Laptop  LG  i7 1165G7 2.8GHz 16 GB Card tích hợp Intel Iris Xe 17"" WQXGA (2560 x 1600)"
220042001400,Laptop,50890000, Laptop , LG ,i7,1165G7,2.8GHz,16 GB,512 GB SSD NVMe PCIe,Card tích hợp,Intel Iris Xe,"16""",WQXGA (2560 x 1600),Hợp kim Nano Carbon - Magie,Dài 355.9 mm - Rộng 243.4 mm - Dày 16.8 mm - Nặng 1.19 kg,Dài 355.9 mm - Rộng 243.4 mm - Dày 16.8 mm - Nặng 1.19 kg,0.0,https://cdn.tgdd.vn/Products/Images/44/238133/Slider/lg-gram-16-i7-16z90pgah75a5-120821-1023371.jpg,"Laptop  LG  i7 1165G7 2.8GHz 16 GB Card tích hợp Intel Iris Xe 16"" WQXGA (2560 x 1600)"
220042001572,Laptop,44990000, Laptop , Acer ,i7,11800H,2.30 GHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",Card rời,RTX 3060 6GB,"15.6""",QHD (2560 x 1440),Vỏ kim loại,Dài 353 mm - Rộng 255 mm - Dày 19.9 mm - Nặng 2 kg,Dài 353 mm - Rộng 255 mm - Dày 19.9 mm - Nặng 2 kg,5.0,https://cdn.tgdd.vn/Products/Images/44/250975/Slider/vi-vn-acer-predator-triton-300-pt315-53-75lq-i7-3.jpg,"Laptop  Acer  i7 11800H 2.30 GHz 16 GB Card rời RTX 3060 6GB 15.6"" QHD (2560 x 1440)"
220042001670,Laptop,41990000, Laptop , MSI ,i7,11375H,3.3GHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",Card rời,RTX 3060 Max-Q 6GB,"15.6""",Full HD (1920 x 1080),Vỏ kim loại,Dài 358.3 mm - Rộng 248 mm - Dày 16.15 mm - Nặng 1.7 kg,Dài 358.3 mm - Rộng 248 mm - Dày 16.15 mm - Nặng 1.7 kg,0.0,https://cdn.tgdd.vn/Products/Images/44/256265/Slider/vi-vn-msi-gaming-stealth-15m-a11uek-i7-254vn-3.jpg,"Laptop  MSI  i7 11375H 3.3GHz 16 GB Card rời RTX 3060 Max-Q 6GB 15.6"" Full HD (1920 x 1080)"
220042001838,Laptop,41990000, Laptop , Dell ,i5,1135G7,2.4GHz,8 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",Card tích hợp,Intel Iris Xe,"13.4""",Full HD+ (1920 x 1200),Vỏ kim loại,Dài 295 mm - Rộng 198 mm - Dày 14.8 mm - Nặng 1.2 kg,Dài 295 mm - Rộng 198 mm - Dày 14.8 mm - Nặng 1.2 kg,0.0,https://cdn.tgdd.vn/Products/Images/44/269554/Slider/vi-vn-dell-xps-13-9310-i5-70273578-3.jpg,"Laptop  Dell  i5 1135G7 2.4GHz 8 GB Card tích hợp Intel Iris Xe 13.4"" Full HD+ (1920 x 1200)"
220042001401,Laptop,48890000, Laptop , LG ,i7,1165G7,2.8GHz,16 GB,256 GB SSD NVMe PCIe,Card tích hợp,Intel Iris Xe,"16""",WQXGA (2560 x 1600),Hợp kim Nano Carbon - Magie,Dài 355.9 mm - Rộng 243.4 mm - Dày 16.8 mm - Nặng 1.19 kg,Dài 355.9 mm - Rộng 243.4 mm - Dày 16.8 mm - Nặng 1.19 kg,0.0,https://cdn.tgdd.vn/Products/Images/44/238132/Slider/vi-vn-lg-gram-16-i7-16z90pgah73a5-3.jpg,"Laptop  LG  i7 1165G7 2.8GHz 16 GB Card tích hợp Intel Iris Xe 16"" WQXGA (2560 x 1600)"
220042001691,Laptop,41890000, Laptop , HP ,i7,1165G7,2.8GHz,16 GB,1 TB SSD M.2 PCIe,Card rời,"NVIDIA QuadroT500, 4GB","14""",Full HD (1920 x 1080),Vỏ kim loại,Dài 323 mm - Rộng 214.6 mm - Dày 17.9 mm - Nặng 1.35 kg,Dài 323 mm - Rộng 214.6 mm - Dày 17.9 mm - Nặng 1.35 kg,0.0,https://cdn.tgdd.vn/Products/Images/44/259865/Slider/vi-vn-hp-zbook-firefly-14-g8-i7-275w0av-4.jpg,"Laptop  HP  i7 1165G7 2.8GHz 16 GB Card rời NVIDIA QuadroT500, 4GB 14"" Full HD (1920 x 1080)"
220042001402,Laptop,47890000, Laptop , LG ,i7,1165G7,2.8GHz,16 GB,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,Card tích hợp,Intel Iris Xe,"14""",WUXGA (1920 x 1200),Hợp kim Nano Carbon - Magie,Dài 313.4 mm - Rộng 215.2 mm - Dày 16.8 mm - Nặng 0.999 kg,Dài 313.4 mm - Rộng 215.2 mm - Dày 16.8 mm - Nặng 0.999 kg,0.0,https://cdn.tgdd.vn/Products/Images/44/238131/Slider/vi-vn-lg-gram-14-i7-14z90pgah75a5-3.jpg,"Laptop  LG  i7 1165G7 2.8GHz 16 GB Card tích hợp Intel Iris Xe 14"" WUXGA (1920 x 1200)"
220042001743,Laptop,39890000, Laptop , HP ,i5,1135G7,2.4GHz,16 GB,512 GB SSD NVMe PCIe,Card rời,"NVIDIA QuadroT500, 4GB","14""",Full HD (1920 x 1080),Vỏ kim loại,Dài 323 mm - Rộng 214.6 mm - Dày 17.9 mm - Nặng 1.35 kg,Dài 323 mm - Rộng 214.6 mm - Dày 17.9 mm - Nặng 1.35 kg,0.0,https://cdn.tgdd.vn/Products/Images/44/264438/Slider/vi-vn-hp-zbook-firefly-14-g8-i5-275v5av-4.jpg,"Laptop  HP  i5 1135G7 2.4GHz 16 GB Card rời NVIDIA QuadroT500, 4GB 14"" Full HD (1920 x 1080)"
