code,name,price,category,brand,cpu1,cpu2,cpu3,ram,oCung,cardManHinh1,cardManHinh2,manHinh1,manHinh2,congKetNoi1,congKetNoi2,thietKe,kichThuoc,thoiGianRaMat,rating,full_name
220042001446, Laptop,29990000, Laptop , MSI ,i7,11800H,2.30 GHz,8 GB,512 GB SSD NVMe PCIe,Card rời,RTX 3050 4GB,"15.6""",Full HD (1920 x 1080),2 x USB 3.2,HDMI,Vỏ nhựa,Dài 359 mm - Rộng 259 mm - Dày 24.9 mm - Nặng 2.1 kg,Dài 359 mm - Rộng 259 mm - Dày 24.9 mm - Nặng 2.1 kg,3," Laptop  MSI  i7 11800H 2.30 GHz 8 GB 512 GB SSD NVMe PCIe Card rời RTX 3050 4GB 15.6"" Full HD (1920 x 1080)"
220042001725, Laptop,17990000, Laptop , MSI ,Ryzen 5,5500U,2.1GHz,8 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",Card tích hợp,Radeon,"15.6""",Full HD (1920 x 1080),3 x USB 3.2,HDMI,Nắp lưng và chiếu nghỉ tay bằng kim loại,Dài 356.8 mm - Rộng 233.7 mm - Dày 18.9 mm - Nặng 1.6 kg,Dài 356.8 mm - Rộng 233.7 mm - Dày 18.9 mm - Nặng 1.6 kg,3," Laptop  MSI  Ryzen 5 5500U 2.1GHz 8 GB 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB) Card tích hợp Radeon 15.6"" Full HD (1920 x 1080)"
220042001673, Laptop,33990000, Laptop , MSI ,i7,11800H,2.30 GHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",Card rời,RTX 3050Ti 4GB,"15.6""",Full HD (1920 x 1080),2 x USB 3.2,HDMI,Nắp lưng và chiếu nghỉ tay bằng kim loại,Dài 359 mm - Rộng 259 mm - Dày 23.95 mm - Nặng 2.25 kg,Dài 359 mm - Rộng 259 mm - Dày 23.95 mm - Nặng 2.25 kg,0," Laptop  MSI  i7 11800H 2.30 GHz 16 GB 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB) Card rời RTX 3050Ti 4GB 15.6"" Full HD (1920 x 1080)"
220042001337, Laptop,23690000, Laptop , Lenovo ,i5,1135G7,2.4GHz,8 GB,512 GB SSD NVMe PCIe,Card tích hợp,Intel Iris Xe,"14""",Full HD (1920 x 1080),2 x USB 3.2,HDMI,Vỏ kim loại,Dài 322 mm - Rộng 207 mm - Dày 14.9 mm - Nặng 1.27 kg,Dài 322 mm - Rộng 207 mm - Dày 14.9 mm - Nặng 1.27 kg,2.7," Laptop  Lenovo  i5 1135G7 2.4GHz 8 GB 512 GB SSD NVMe PCIe Card tích hợp Intel Iris Xe 14"" Full HD (1920 x 1080)"
220042001698, Laptop,29990000, Laptop , GIGABYTE ,i5,10500H,2.5GHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",Card rời,RTX 3060 6GB,"15.6""",Full HD (1920 x 1080),2 x USB 3.2,HDMI,Vỏ nhựa,Dài 361 mm - Rộng 258 mm - Dày 24.9 mm - Nặng 2.2 kg,Dài 361 mm - Rộng 258 mm - Dày 24.9 mm - Nặng 2.2 kg,3," Laptop  GIGABYTE  i5 10500H 2.5GHz 16 GB 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB) Card rời RTX 3060 6GB 15.6"" Full HD (1920 x 1080)"
220042001813, Laptop,82990000, Laptop , Dell ,i7,11800H,2.30 GHz,16 GB,"1 TB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",Card rời,RTX 3050 4GB,"17""",4K/UHD+ (3840 x 2400),4 x  Thunderbolt 4,Jack tai nghe 3.5 mm,Vỏ kim loại,"Dài 374,.48 - Rộng 248.08 mm - Dày 13.15 mm - Nặng 2.53 kg","Dài 374,.48 - Rộng 248.08 mm - Dày 13.15 mm - Nặng 2.53 kg",0," Laptop  Dell  i7 11800H 2.30 GHz 16 GB 1 TB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB) Card rời RTX 3050 4GB 17"" 4K/UHD+ (3840 x 2400)"
220042001542, Laptop,77990000, Laptop , MSI ,i7,11800H,2.30 GHz,32 GB,2 TB SSD NVMe PCIe,Card rời,RTX 3080 16GB,"15.6""",QHD (2560 x 1440),3 x USB 3.2,HDMI,Vỏ kim loại,Dài 358 mm - Rộng 267 mm - Dày 23.4 mm - Nặng 2.38 Kg,Dài 358 mm - Rộng 267 mm - Dày 23.4 mm - Nặng 2.38 Kg,0," Laptop  MSI  i7 11800H 2.30 GHz 32 GB 2 TB SSD NVMe PCIe Card rời RTX 3080 16GB 15.6"" QHD (2560 x 1440)"
220042001645, Laptop,64990000, Laptop , MacBook ,Apple M1 Pro,200GB/s memory bandwidth,,16 GB,512 GB SSD,Card tích hợp,16 core-GPU,16.2 inch,Liquid Retina XDR display (3456 x 2234),3 x Thunderbolt 4 USB-C,HDMI,Vỏ kim loại nguyên khối,Dài 355.7 mm - Rộng 248.1 mm - Dày 16.8 mm - Nặng 2.2 kg,Dài 355.7 mm - Rộng 248.1 mm - Dày 16.8 mm - Nặng 2.2 kg,0, Laptop  MacBook  Apple M1 Pro 200GB/s memory bandwidth  16 GB 512 GB SSD Card tích hợp 16 core-GPU 16.2 inch Liquid Retina XDR display (3456 x 2234)
220042001560, Laptop,64990000, Laptop , MSI ,i7,11800H,2.30 GHz,32 GB,2 TB SSD NVMe PCIe,Card rời,RTX 3070 Max-Q 8GB,"15.6""",Full HD (1920 x 1080),3 x USB 3.2,HDMI,Vỏ kim loại,Dài 358.3 mm - Rộng 248 mm - Dày 19.8 mm - Nặng 2.1 Kg,Dài 358.3 mm - Rộng 248 mm - Dày 19.8 mm - Nặng 2.1 Kg,0," Laptop  MSI  i7 11800H 2.30 GHz 32 GB 2 TB SSD NVMe PCIe Card rời RTX 3070 Max-Q 8GB 15.6"" Full HD (1920 x 1080)"
220042001561, Laptop,59990000, Laptop , MSI ,i7,11800H,2.30 GHz,16 GB,2 TB SSD NVMe PCIe,Card rời,RTX 3070 8GB,"15.6""",Full HD (1920 x 1080),3 x USB 3.2,HDMI,Vỏ kim loại,Dài 358 mm - Rộng 267 mm - Dày 23.4 mm - Nặng 2.38 Kg,Dài 358 mm - Rộng 267 mm - Dày 23.4 mm - Nặng 2.38 Kg,0," Laptop  MSI  i7 11800H 2.30 GHz 16 GB 2 TB SSD NVMe PCIe Card rời RTX 3070 8GB 15.6"" Full HD (1920 x 1080)"
220042001373, Laptop,57490000, Laptop , HP ,i7,10750H,2.6GHz,16 GB,1 TB SSD M.2 PCIe,Card rời,RTX 2070 Max-Q 8GB,"15.6""",Full HD (1920 x 1080),Jack tai nghe 3.5 mm,HDMI,Kim loại và polycarbonate,Dài 357.9 mm - Rộng 239.7 mm - Dày 22.5 mm - Nặng 2.36 kg,Dài 357.9 mm - Rộng 239.7 mm - Dày 22.5 mm - Nặng 2.36 kg,0," Laptop  HP  i7 10750H 2.6GHz 16 GB 1 TB SSD M.2 PCIe Card rời RTX 2070 Max-Q 8GB 15.6"" Full HD (1920 x 1080)"
220042001398, Laptop,54890000, Laptop , LG ,i7,1165G7,2.8GHz,16 GB,1 TB SSD M.2 PCIe,Card tích hợp,Intel Iris Xe,"17""",WQXGA (2560 x 1600),2 x Thunderbolt 4 USB-C,2 x USB 3.2,Hợp kim Nano Carbon - Magie,Dài 380.2 mm - Rộng 260.1 mm - Dày 17.8 mm - Nặng 1.35 kg,Dài 380.2 mm - Rộng 260.1 mm - Dày 17.8 mm - Nặng 1.35 kg,0," Laptop  LG  i7 1165G7 2.8GHz 16 GB 1 TB SSD M.2 PCIe Card tích hợp Intel Iris Xe 17"" WQXGA (2560 x 1600)"
220042001716, Laptop,52990000, Laptop , MSI ,i7,11800H,2.30 GHz,16 GB,"1 TB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",Card rời,RTX 3070 8GB,"17.3""",Full HD (1920 x 1080),3 x USB 3.2,HDMI,Vỏ kim loại,Dài 397 mm - Rộng 284 mm - Dày 25.9 mm - Nặng 2.9 kg,Dài 397 mm - Rộng 284 mm - Dày 25.9 mm - Nặng 2.9 kg,0," Laptop  MSI  i7 11800H 2.30 GHz 16 GB 1 TB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB) Card rời RTX 3070 8GB 17.3"" Full HD (1920 x 1080)"
220042001399, Laptop,52890000, Laptop , LG ,i7,1165G7,2.8GHz,16 GB,512 GB SSD NVMe PCIe,Card tích hợp,Intel Iris Xe,"17""",WQXGA (2560 x 1600),2 x Thunderbolt 4 USB-C,2 x USB 3.2,Hợp kim Nano Carbon - Magie,Dài 380.2 mm - Rộng 260.1 mm - Dày 17.8 mm - Nặng 1.35 kg,Dài 380.2 mm - Rộng 260.1 mm - Dày 17.8 mm - Nặng 1.35 kg,0," Laptop  LG  i7 1165G7 2.8GHz 16 GB 512 GB SSD NVMe PCIe Card tích hợp Intel Iris Xe 17"" WQXGA (2560 x 1600)"
220042001573, Laptop,50990000, Laptop , Acer ,i7,11800H,2.30 GHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",Card rời,RTX 3070 8GB,"15.6""",QHD (2560 x 1440),3 x USB 3.2,HDMI,Vỏ kim loại,Dài 353 mm - Rộng 255 mm - Dày 19.9 mm - Nặng 2 kg,Dài 353 mm - Rộng 255 mm - Dày 19.9 mm - Nặng 2 kg,0," Laptop  Acer  i7 11800H 2.30 GHz 16 GB 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB) Card rời RTX 3070 8GB 15.6"" QHD (2560 x 1440)"
220042001400, Laptop,50890000, Laptop , LG ,i7,1165G7,2.8GHz,16 GB,512 GB SSD NVMe PCIe,Card tích hợp,Intel Iris Xe,"16""",WQXGA (2560 x 1600),2 x Thunderbolt 4 USB-C,2 x USB 3.2,Hợp kim Nano Carbon - Magie,Dài 355.9 mm - Rộng 243.4 mm - Dày 16.8 mm - Nặng 1.19 kg,Dài 355.9 mm - Rộng 243.4 mm - Dày 16.8 mm - Nặng 1.19 kg,0," Laptop  LG  i7 1165G7 2.8GHz 16 GB 512 GB SSD NVMe PCIe Card tích hợp Intel Iris Xe 16"" WQXGA (2560 x 1600)"
220042001411, Laptop,49990000, Laptop , Lenovo ,i7,1185G7,3GHz,16 GB,1 TB SSD M.2 PCIe,Card tích hợp,Intel Iris Xe,"14""",4K/UHD (3840 x 2160),1 x USB 3.2,2 x Thunderbolt 4 USB-C,Vỏ kim loại,Dài 319.4 mm - Rộng 216.4 mm - Dày 15.7 mm - Nặng 1.37 kg,Dài 319.4 mm - Rộng 216.4 mm - Dày 15.7 mm - Nặng 1.37 kg,2," Laptop  Lenovo  i7 1185G7 3GHz 16 GB 1 TB SSD M.2 PCIe Card tích hợp Intel Iris Xe 14"" 4K/UHD (3840 x 2160)"
220042001441, Laptop,49590000, Laptop , HP ,i7,1165G7,2.8GHz,16 GB,512 GB SSD NVMe PCIe,Card tích hợp,Intel Iris Xe,"14""",Full HD (1920 x 1080),2 x Thunderbolt 4 USB-C,2 x USB 3.1,Vỏ kim loại nguyên khối,Dài 303.7 mm - Rộng 193.9 mm - Dày 16.1 mm - Nặng 1.25 kg,Dài 303.7 mm - Rộng 193.9 mm - Dày 16.1 mm - Nặng 1.25 kg,0," Laptop  HP  i7 1165G7 2.8GHz 16 GB 512 GB SSD NVMe PCIe Card tích hợp Intel Iris Xe 14"" Full HD (1920 x 1080)"
220042001401, Laptop,48890000, Laptop , LG ,i7,1165G7,2.8GHz,16 GB,256 GB SSD NVMe PCIe,Card tích hợp,Intel Iris Xe,"16""",WQXGA (2560 x 1600),2 x Thunderbolt 4 USB-C,2 x USB 3.2,Hợp kim Nano Carbon - Magie,Dài 355.9 mm - Rộng 243.4 mm - Dày 16.8 mm - Nặng 1.19 kg,Dài 355.9 mm - Rộng 243.4 mm - Dày 16.8 mm - Nặng 1.19 kg,0," Laptop  LG  i7 1165G7 2.8GHz 16 GB 256 GB SSD NVMe PCIe Card tích hợp Intel Iris Xe 16"" WQXGA (2560 x 1600)"
220042001402, Laptop,47890000, Laptop , LG ,i7,1165G7,2.8GHz,16 GB,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,Card tích hợp,Intel Iris Xe,"14""",WUXGA (1920 x 1200),2 x Thunderbolt 4 USB-C,2 x USB 3.2,Hợp kim Nano Carbon - Magie,Dài 313.4 mm - Rộng 215.2 mm - Dày 16.8 mm - Nặng 0.999 kg,Dài 313.4 mm - Rộng 215.2 mm - Dày 16.8 mm - Nặng 0.999 kg,0," Laptop  LG  i7 1165G7 2.8GHz 16 GB Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng Card tích hợp Intel Iris Xe 14"" WUXGA (1920 x 1200)"
220042001670, Laptop,41990000, Laptop , MSI ,i7,11375H,3.3GHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",Card rời,RTX 3060 Max-Q 6GB,"15.6""",Full HD (1920 x 1080),2 x USB 3.2,HDMI,Vỏ kim loại,Dài 358.3 mm - Rộng 248 mm - Dày 16.15 mm - Nặng 1.7 kg,Dài 358.3 mm - Rộng 248 mm - Dày 16.15 mm - Nặng 1.7 kg,0," Laptop  MSI  i7 11375H 3.3GHz 16 GB 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB) Card rời RTX 3060 Max-Q 6GB 15.6"" Full HD (1920 x 1080)"
220042001719, Laptop,41990000, Laptop , Asus ,i7,1165G7,2.8GHz,16 GB,1 TB SSD M.2 PCIe,Card tích hợp,Intel Iris Xe,"13.3""","4K/UHD (3840 x 2160), OLED",1 x USB 3.2,2 x Thunderbolt 4 USB-C,Vỏ kim loại nguyên khối,Dài 305 mm - Rộng 211 mm - Dày 13.9 mm - Nặng 1.2 kg,Dài 305 mm - Rộng 211 mm - Dày 13.9 mm - Nặng 1.2 kg,0," Laptop  Asus  i7 1165G7 2.8GHz 16 GB 1 TB SSD M.2 PCIe Card tích hợp Intel Iris Xe 13.3"" 4K/UHD (3840 x 2160), OLED"
220042001691, Laptop,41890000, Laptop , HP ,i7,1165G7,2.8GHz,16 GB,1 TB SSD M.2 PCIe,Card rời,"NVIDIA QuadroT500, 4GB","14""",Full HD (1920 x 1080),2 x Thunderbolt 4 USB-C,2x SuperSpeed USB A,Vỏ kim loại,Dài 323 mm - Rộng 214.6 mm - Dày 17.9 mm - Nặng 1.35 kg,Dài 323 mm - Rộng 214.6 mm - Dày 17.9 mm - Nặng 1.35 kg,0," Laptop  HP  i7 1165G7 2.8GHz 16 GB 1 TB SSD M.2 PCIe Card rời NVIDIA QuadroT500, 4GB 14"" Full HD (1920 x 1080)"
220042001764, Laptop,39990000, Laptop , Acer ,Ryzen 7,5800H,3.2GHz,8 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",Card rời,RTX 3070 8GB,"15.6""",Full HD (1920 x 1080),3 x USB 3.2,HDMI,Vỏ nhựa,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,Dài 363.4 mm - Rộng 255 mm - Dày 23.9 mm - Nặng 2.2 kg,0," Laptop  Acer  Ryzen 7 5800H 3.2GHz 8 GB 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB) Card rời RTX 3070 8GB 15.6"" Full HD (1920 x 1080)"
220042001743, Laptop,39890000, Laptop , HP ,i5,1135G7,2.4GHz,16 GB,512 GB SSD NVMe PCIe,Card rời,"NVIDIA QuadroT500, 4GB","14""",Full HD (1920 x 1080),2 x Thunderbolt 4 USB-C,2x SuperSpeed USB A,Vỏ kim loại,Dài 323 mm - Rộng 214.6 mm - Dày 17.9 mm - Nặng 1.35 kg,Dài 323 mm - Rộng 214.6 mm - Dày 17.9 mm - Nặng 1.35 kg,0," Laptop  HP  i5 1135G7 2.4GHz 16 GB 512 GB SSD NVMe PCIe Card rời NVIDIA QuadroT500, 4GB 14"" Full HD (1920 x 1080)"
220042001757, Laptop,37990000, Laptop , Intel ,i7,1165G7,2.8GHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",Card tích hợp,Intel Iris Xe,"15.6""",Full HD (1920 x 1080),2 x Thunderbolt 4 USB-C,2 x USB 3.2,Vỏ kim loại,Dài 355 mm - Rộng 230 mm - Dày 14.9 mm - Nặng 1.65 kg,Dài 355 mm - Rộng 230 mm - Dày 14.9 mm - Nặng 1.65 kg,0," Laptop  Intel  i7 1165G7 2.8GHz 16 GB 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB) Card tích hợp Intel Iris Xe 15.6"" Full HD (1920 x 1080)"
220042001756, Laptop,37990000, Laptop , Intel ,i7,1165G7,2.8GHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",Card tích hợp,Intel Iris Xe,"15.6""",Full HD (1920 x 1080),2 x Thunderbolt 4 USB-C,2 x USB 3.2,Vỏ kim loại,Dài 355 mm - Rộng 230 mm - Dày 15 mm - Nặng 1.65 kg,Dài 355 mm - Rộng 230 mm - Dày 15 mm - Nặng 1.65 kg,0," Laptop  Intel  i7 1165G7 2.8GHz 16 GB 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB) Card tích hợp Intel Iris Xe 15.6"" Full HD (1920 x 1080)"
220042001892, Laptop,32990000, Laptop , Dell ,Ryzen 7,5800H,3.2GHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB (2280) / 1TB (2230))",Card rời,RTX 3050Ti 4GB,"15.6""",Full HD (1920 x 1080),1 x USB 3.2,2 x USB 2.0,Vỏ nhựa,Dài 357.2 mm - Rộng 272.1 mm - Dày 26.9 mm - Nặng 2.81 kg,Dài 357.2 mm - Rộng 272.1 mm - Dày 26.9 mm - Nặng 2.81 kg,0," Laptop  Dell  Ryzen 7 5800H 3.2GHz 16 GB 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB (2280) / 1TB (2230)) Card rời RTX 3050Ti 4GB 15.6"" Full HD (1920 x 1080)"
220042001715, Laptop,34990000, Laptop , MSI ,i7,1185G7,3GHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",Card rời,GTX 1650 Max-Q 4GB,"15.6""",Full HD (1920 x 1080),2 x Thunderbolt 4 USB-C,2 x USB 3.2,Vỏ kim loại,Dài 356.8 mm - Rộng 233.7 mm - Dày 16.9 mm - Nặng 1.69 kg,Dài 356.8 mm - Rộng 233.7 mm - Dày 16.9 mm - Nặng 1.69 kg,0," Laptop  MSI  i7 1185G7 3GHz 16 GB 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB) Card rời GTX 1650 Max-Q 4GB 15.6"" Full HD (1920 x 1080)"
220042001285, Laptop,34990000, Laptop , MacBook ,Apple M1,,,8 GB,256 GB SSD,Card tích hợp,8 nhân GPU,"13.3""",Retina (2560 x 1600),2 x Thunderbolt 3 (USB-C),Jack tai nghe 3.5 mm,Vỏ kim loại nguyên khối,Dài 304.1 mm - Rộng 212.4 mm - Dày 15.6 mm - Nặng 1.4 kg,Dài 304.1 mm - Rộng 212.4 mm - Dày 15.6 mm - Nặng 1.4 kg,5," Laptop  MacBook  Apple M1   8 GB 256 GB SSD Card tích hợp 8 nhân GPU 13.3"" Retina (2560 x 1600)"
